REFERENCE	 DEGRADED	 PESQMOS	 MOSLQO	 SAMPLE_FREQ	 MODE
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.996	 4.150	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.991	 4.145	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.991	 4.145	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.835	 3.978	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 4.035	 4.189	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.944	 4.097	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.944	 4.097	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.296	 3.262	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.296	 3.262	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 4.000	 4.154	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 4.017	 4.170	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.848	 3.993	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.740	 1.110	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.821	 1.124	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.643	 1.096	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 4.039	 4.192	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 4.062	 4.214	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.978	 4.132	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 4.038	 4.191	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.957	 4.111	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 4.054	 4.206	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 4.150	 4.294	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 4.009	 4.163	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.986	 4.140	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 4.050	 4.203	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 4.024	 4.177	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.497	 3.550	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.849	 3.993	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 4.024	 4.177	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.940	 4.093	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 4.067	 4.219	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 4.074	 4.225	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 4.095	 4.245	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.986	 4.140	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 4.074	 4.225	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.989	 4.143	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.229	 1.052	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.205	 1.050	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.216	 1.051	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.891	 4.041	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 3.892	 4.041	 8000	nb
/home/sah/Robustness_files/source1_raw16.raw	 /home/sah/Robustness_files/original_final_16bit.raw	 3.958	 4.111	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.287	 1.056	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.203	 1.050	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.138	 1.045	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.102	 1.043	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.175	 1.048	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.200	 1.049	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.268	 1.055	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.208	 1.050	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.132	 1.045	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.196	 1.049	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.204	 1.050	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.283	 1.056	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.269	 1.055	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.197	 1.049	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.263	 1.054	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.277	 1.055	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.220	 1.051	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.212	 1.050	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.159	 1.046	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.244	 1.053	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.143	 1.045	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.253	 1.053	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.108	 1.043	 8000	nb
/home/sah/Robustness_files/original_final.raw	 /home/sah/Robustness_files/final_out.raw	 0.198	 1.049	 8000	nb
